text;section
22. КТ-ны-жь-ра перех. спустить кого, что-л. вниз. Ачвымла аннырхх аркъанла д-кТ-ны-р-жь-х-тР. Аб. Т. Ког- да убрали лестницу, его спустили вниз на веревке.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
23. А-к!ва-жь-ра перех. класть пазухой к пазухе. Апси бам акТвалжьитТ (й-а-кТва-л-жь-ит. Посл. Она мертвого ® живым кладет в одну постель (пазухой к пазухе). О про- ходимце.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
24. А-ла-жь-ра перех. пустить. отправить кого, что-л, в однородную массу. Ачв анажвра ахТвара й-р-ы-ла-жь-х. АПА, 71. Когда вол состарится, отправь его в телячий гурт (в их массу).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
25. А-мгва-жь-ра перех. пустить кого, что-л. внутрь (в живот) чего-н. Ачваква дрымгвалуашын — д-гь-р-ы- мгва-р-мы-жь-тТ. Аб. Т. Он хотел завернуться в шкурках— ©го не пустили (они его завернуться в них не пустили).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
26. А-мцТа-жь-ра перех. пустить кого, что-л. перед кем, чем-н. Асаби дылбжьан д-ры-ми!Та-лы-жь-лТ. Аб. Т. Она уговорила ребенка подойти к ним (она его пустила перед ними).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
27. МыМв-хъы-жь-ра перех. сводить кого-л. с пути. Иыдрымгалта йаъайа — д-мыгв-хъы-р-жь-тЁ. Аб. Т. Чего только с ним не проделали — они сго свели с пути.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
28. На-жьы-л-ра перех. пустить кого-л. в помещение (в сторону от говорящего). Чквын хвыцк! д-на-й-жьы-л-1Т. Т. Б., Амара, 31. Он пустил в помещение мальчика.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
29. Нкъвы-жь-ра перех. посылать. заставлять ходить кого, чте-л. Ари аъара б-ы-нкъвы-р-лсь-итТ. Ком, 29.Х1.1986, П. Они тебя застэвляют столько ходить. ШахТым й-нкъв- и-жь-тГ йшыдзадза. Абазашта № 1, 54. Шахим привел в движение свои челюсти (заставил их ходить).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
30. (ГЛа)-ны-жь-ра перех. оставлять кого, что-л. У-ны- з-жь-ит[ са ЙатаркТвах, с-Абазашта. Азпира, 28. Я снова покидаю (оставляю) тебя, моя Абазашта. Толистан хвып- гьи атажв д-л-ы-з-Та-ны-тТы-жь-т]. Нышв, 216. Маленько- то Толистана мы оставили старухе.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
31. НалТы-пцТа-жь-ра перех. пустить кого, что-л. в руки. Аг?впхХвысчва  хвгвысабичва ГГарнатышажьта {й-МТа-р. напы-Шажь-та) йтьезганымыжьт Нышв, 150. Я не мог покинуть двух женщин с пятью детьми (оставляя в их руках детей).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
32. Иши1а-жь-ра перех. пустить кого, что-л. во двор. Асас зджьара д-ппиа-р-мы-жь-уа-та Йуысква ахъвда- хъвырщтт!. Аб. Т. Гостя ни в чем не утруждая (не пуская сго ни в какой двор), они выполнили всё его дела.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
33. П-шТа-жь-ра перех. послать кого-л. навстречу кому- то. чему-то. Ахвыцква ачвагъвачва й.р-п-в|а-гТы-жьТ, Аб. Т. Мы детей послали навстречу пахарям.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
34. Пыра-жь-ра перех. послать кого, что-л. навстречу кому-то, чему-то. Ахмад ауахь даъап!. йпыражвжьуашда {й-й-пыра-жв-жь-уаш-да) ауи? Нышв, 216. Ахмад находится там. кого вы пошлете навстречу ему?;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
35. Пы-пТа-жь-ра перех. свалить кого, что-л. спереди. Ащшлаква пыцТарыжьтТ (й-пы-пТа-ры-жь-т[). Аб. Т. Они свалили деревья (спереди).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
"36. (ГТа)-та-жь-ра перех. оставлять остаток чего-то; за- тонять кого, что-л. туда. Атамщакь кТара гГатаужьырквын {Я-гГа-а-та-у-жьы-р-квыи) унасып татахитГ. АПА, 56. Ес- ли ты в тарелке оставишь недоеденную пищу, оставишь свое счастье. МухТаджьыр ажьайдза аквар ИгГатайжьын (Я-гТа-а-та-й-жьы-н) дхъалхт[Г. А. тш., 29. Мухаджир выб- ралея из ущелья, оставив в нем сырое мясо,";1. ПРЕВЕРБЫ+СУФФИКСОИД жь
37. Тштва-жь-ра перех. оставлять кого, что-л. у очага. Луахъ амажвадза атшГва й-Ча-тпиТва-ль-жь-Т. Аб. Т. Женщина на ночь тесто оставила у очага.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
38. ТшкТара-жь-ра перех. АРС. 363. Впустить кого, что-л, зо двор. Ахвараква а ьадыгв й-тшкТара-жв-жь-х. Аб. Т. Телят впустите во двор.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
39. ТшьТара-жь-ра перех. оставлять кого, что-л. во дво- ре. Сымлыкв гагварга, ауаса анамыс тТакТв сызтТатшкТа- ражь (й-е-ы-з-ГТа-тшкТа-ра-жь). Нышв. 237. Вы заберите мое богатство, но оставьте в моем дворе честь (почет).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
40. Тш-п-ны-жь-ра перех. погнать кого, что-л, (к берегу или огню). Азхвараква адзы Й-а-тш-п-ны-р-жьы-н дара хъвмарит!, Аб. Т. Погнав телят к берегу, они играют.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
41. Тш-п-ны-жь-ра перех. оставить кого, что-л. (на бе- регу или у огня). Ирымаэтгьи атвал Й-а-тш-п-ны-р-жььы-и рхъа джвыквыргахт!. Аб. Т. Они на берегу озера оставили все, что имели, и сами отправились.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
42. А-уаща-жь-ра перех. отправить кого, что-л. в насе- ленный пункт (побродить). АчШвын акыт д-а-уащ1а-р-жьы-н йызншыхит!. Аб, Т. Они отправили парня в деревню (по- бродить), а теперь ждут его.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
43. А-уаща-жь-ра перех. оставить кого, что-л. внутри чего-л. Акъамчы ауапа йгауац!ТайыжьтЕ  (й-Та-а-уаща- йы-жь-11). Аб. Т. Он плетку оставил в бурке (внутри бурки).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
44. А-хъа-жь-ра перех. пустить кого, что-л. на кого-то, что-то. ИкТайпеауа йыхъва пхата у-гь-а-хъа-й-жь-уа-шы-м. АПА, 96. Он не подпустит к своей золе, которую выбра- сывает, если она еще теплая,;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
"45. Хъ-та-жь-ра перех. наводить что-л. на кого-то, что- че. Иалвыз гьйымгвапхат/, агвыжвк!ра глайхъталыжьт! (и-г1а-й-хъ-та-лы-жь-тО, Аб. 1. Ему не понравилось то, что оиа сказала; она на него навела злобу.";1. ПРЕВЕРБЫ+СУФФИКСОИД жь
46. Хъы-жь-ра перех. пустить кого, что-л. на плаву (над подой, облаками). Акъазква атшк[арылщтын адзы йхъыл- жьт] {й-й-хъы-л-жь-т). Аб. Т. Она выпустила со двора гу- ей и пустила их в воду (на плаву).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
47. (Г1а)-къвы-жь-ра перех. оставить что-л (в висячем положении) над чем-то. Ачуан атш ва йМахъвыржьын \и-1а-а-хъвы-р-жьы-в) йырхъаштылхт[. Аб. Т. Они чан оставили над очагом (в висячем положении) и забыли про иего-;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
48. А-цы-жь-ра перех. пустить кого, что-л. вместе с кем-то, чем-то. Ачвын ачвахчва д-р-ы-ц.ры-жь-тИ. Аб. Т. Парня они пустили вместе с косарями.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
49. Ц-в1-ла-жь-ра перех. заставить приступить к кому, чему-л. (сзади). Ауыгьи арцТытььта д-шв-ы-ц-к]-ла-ры-жь- х-тй. Аб. Т. И его, как клещ, приставили к вам (сзади).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
50. А-цГа-жь-ра перех. пустить кого, что-л. под что-то. Йаншуарахарыз ауасаква ахГатшиква й-р-ы-цра-сы-жь- узи. Ашта, #0. Когда становилось жарко, овец мы пускали в пещеры.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
51. (Г1а)-Ша-жь-ра перех. представлять себе (пустить что-то в глаз}, Швыла йфащажежь (й-а-а-иа-жв-жь) ашвызг!ац(ажьуазтын (й-шв-ы-э-г1а-а-цГа-жь-уа-зтын) швы- ла. А, тш., 43. Предетавьте себе то, если вы в состоянии то представить себе (пустить себе в глаз).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
52. Чвы-жь-ра перех. оставлять (вещи, не снимая их). Аджвджвахьаква ауахъ ИЧачвылыжьтЕ  (й-Та-а-чвы-лы- жь-т). Аб. Т. Стиранные вещи она оставила на ночь (не снимая),;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
53. Швыежь-ра (щы-жь-ра) перех. оставить (обувь, одеж- ду, не снимая). Иам аква ГайшвыржьтГ (й-га-й-щыер- жь-т). Аб. Т. Они оставили ему обувь (не снимая ее с ноги).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
54. Аща-жь-ра перех. пустить кого, что-л. на косо- гор. Ажвараква агьаба й-а-иа-лы-жь-11. Аб. Т. Она телат выпустила на косогор,;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
55. (ГТа)-пПа-жь-ра перех. оставлять кого, что-л. на ко- согоре. Ах]вараква агьаба йгашТарыжьт (й-г!а-а-ша-ры- экь-т[). Аб. Т. Телят они оставили на косогоре,;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
56. А-нЦа-жь-ра перех. пустить что-л. в рот. Ачыма- заг1в адзы йшарыжьтГ (й-й-иЧа-ры-жь-тГ). Аб. Т. Боль- пому дали воды (пустили воду в рот).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
57. Шы-цта-жьра перех. повалить кого, что-л, (беепорядочно). Ащлаква шТыщарыжьт! (й-шы-Ща-ры-жь-т). Аб. Т, Они повалили деревья (беспорядочно).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
58. Ща-квы-жь-ра перех. спасти кого, что-л. (оставить на ногах). Заудин е-Ша-ща-кв-и-жь-т!. Скыт, 164. Заудин меня спас. ИыншШра МащаквырыжьтГ (й-Та-ща-квы-ры- жь-11). Они ему сохранили жизнь.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
59. Щта-жь-ра перех. АРС, 454. Отправить кого, что-л. вслед за кем-то, чем-то. Ачвгьахачва й-р-ы-шта-ры-жь-тГ. Т. Т. Они устроили погоню за разбойниками (они их отпра- вили за ними).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
60. Щта-нкъзы-жь-ра перех. ходить друг к другу, по- сещать друг друга. Абызква знык! агвлачва гьащтан- къзырмыжьуазт{ «й-гь-а-щта-нкъвы-р-мы-жь-уа-зт). Аб. Т: Когда-то злые языки не допускали, чтобы соседи ходили друг к другу.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
61. Щта-жь-ра перех. укладывать кого-л. (в постель). Сдерсква сымчпак1ва с-гь-щтйа-й-мы-жь-х-уа-шы-зтГ. Афыр- ква, 14. Он мне не разрешит лечь, пока я не сделаю уроков.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
62. Бгъа-л-ра неперех. спуститься (с горы, возвыше- ния). Агъьал шквова й-Ма-бгъа-л-итГ атшан х1выча. Сгвы, 42. Табун лошадей спускается с белой горы.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
68. Бжьа-л-ра неперех. войти, направиться между кем, чем-л. 1) Мыши аурам сбжьа-л-. Садтьыл, 147. Однажды я направился на улицу (между оградами, домами). 2) АЧвыджь сы-р-бжьа-л-1тГ. Афырква, 7. Я вошел меж- ду ними.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
64. Гара-л-ра неперех. влезть, взбираться в люльку. Асаби йчварта д-гара-л-х-уан. Аб. Т. Ребенок влезал в свою постель (люльку).;2. ПРЕВЕРБЫ+СУФФИКСОИД л
65. Гвара-л-ра неперех. зайти, войти во двор. 1) КъомывкЕ хшны й-гвара-л-изГ. Ачквын, 5. К нам во двор входят несколько человек. 2) ХЛы-з-гвара-лы-з апшцЛа гьдучвам. Нышь, 327. Двор, в который мы вошли, небольшой.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
66. Гвы-квы-л-ра неперех. наброситься, навалиться на кого-л. Пырас рымамква ахъвыцраква ЧасгвыквылтЕ (#- а-с-гвы-квы-л-1). Ч. М., Скыт, 45. Размышления, не имея преград, навалились на меня.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
67. Гвы-ла-л-ра неперех. вонзиться, войти в кого, что-л, Иауищтыз асаындакъ амшв й-а-гвы-ла-лт[, Аб. Т. Стрела, которую он выпустил, вонзилась в медведя.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
"68. Гъра-л-ра неперех. вонзиться, проникнуть во внутрь. Атхьъвынч3вы ачва Я-а-гъра-л-т1. АРС, 142. Вилы вонзились и"" сено (внутрь).";2. ПРЕВЕРБЫ+СУФФИКСОИД л
"69. Чвна-л-ра неперех. войти, входить в дом (помеще- ие). Атвпеще!гьи ауи аъара йтшванта Швыджь-хвы ""ыиалырквныз (й-гГвна-лы-р-квы-ны-з) чвартагьи гыларта- ги гьумаухуазтГ. Джьандра, 167. Если в комнаты войдут даш-три человека, то им негде стать и сесть — настолько ‘сны обе комнаты.";2. ПРЕВЕРБЫ+СУФФИКСОИД л
70. А-ды-л-ра неперех. ложиться, лечь к кому, чему-л. Ахьта уагузтын чвах1аджв у-а-дыгл. Ком., 14.Х.1965. Если ’ы замерзаешь, ложись {ляг) к скирде сена.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
71. Джвы-квы-л-ра неперех. отправиться туда( из до- мн, со двора, стана и т. д.). Мшыла у-джвы-квы-л-уа-зтын хымш быгавнифа умцджвыквга. АЦА, 112, Если ты отправ- янешься на день, бери с собой провизию на три дня.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
72. Джвы-квы-л-ра неперех. начинать что-л. Араса ам- иыркъвара джвыквылт! (й-джвы-квы-л-11). Т. Б. Амара, 57. Так началась шутка.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
73. А-дз-хъа-л-ра неперех. расположиться, лечь около кого, чего-л. Алыгажв амца д-а-дз-хъа-лы-ы йтурых гИа- джныквицТат{. Ком., 11.Х.2966. Старик расположился (лег) у опия и начал свой рассказ.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
74. А-жвы-л-ра неперех. наброситься на кого, что-л. КТы- и мымва йыжвлын (й-йы-жв-лы-н) дахъвырчИвтГ. Абаза +... 1%). Они набросились на бедного Кыту и уничтожили его.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
75. А-за-л-ра неперех. упасть во что-л. Мардасгьи пыкв- чи д-а-за-ле] авынчв цГагъа. Т. Б., Амара, 75. И Мар- ди: лицом упал (угодил) в лужу.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
76. А-за-л-ра неперех. быть в качестве кого, чего-л, А„пиила, хара хвду узыхГчпит!, уШай ахТыта у-хТ-за-л. Лилу, 104. Яблоня! Мы тебя высоко ценим, будь нашим звияцем (в качестве князя будь для нас).;2. ПРЕВЕРБЫ+СУФФИКСОИД л
77. Ква-цЕа-л-ра неперех. отправиться в населенные пункты. Сы-р-ква-иТа-ляИ акытква. Ашахв, 10, Я отправ- чин, в деревни,;2. ПРЕВЕРБЫ+СУФФИКСОИД л
78. А-квы-л-ра неперех. отправляться куда-л. Йатар- их амгТва с-ы-квы-л-х-итГ. Йара, 129. Снова я отправ- чин, по дороге.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
79. А-квы-л-ра неперех. наклониться, опираться, ло- ины‘и, опуститься. Пеайспа д-а-квы-л-тЁЕ лыгвзак1 лыже- о ррижьи. Т. Б., Амара, 69. Она медленно легла на плечо товорицые;2. ПРЕВЕРБЫ+СУФФИКСОИД л
80. (Г1а)-квы-л-ра неперех. появиться, родиться. Ашва ичуний йМаквылт[ (й-Г1а-а-квы-л-тТ). Адунейква, 33. Родилась песня (появилась на свет).;2. ПРЕВЕРБЫ+СУФФИКСОИД л
81. КЛы-ды-л-ра неперех. направиться вверх по склону {горы}. Х1-ы1ы-ды-л-х-т[ абна. А. тш., 71. Мы направились в лес (вверх по склону горы).;2. ПРЕВЕРБЫ+СУФФИКСОИД л
"82. КЛы-ла-л-ра неперех. залезать, влезать (в щели). Йах[хТвуа йгьазхъайцТум, атдзы кТынарата йамаз ды-р- к1ьы-ла-л-21. Аб. Т. Он не верит тому, что мы ему говорим; влез во все щели, которые были в доме,";2. ПРЕВЕРБЫ+СУФФИКСОИД л
83. К1-ны-л-ра неперех. спуститься, скатываться (с го- ры). ХЛуандыр канылуан (й-к1-ны-л-уан) ахъылагъь. Ашахв, э7. Наша повозка скатывалась с горы.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
84. А-кТва-л-ра неперех. идти, приблизиться к пазухе. Асаби йан д-лы-кТва-лы-н дычвитЕ. Аб. Т. Ребенок спит < матерью (приблизившись к пазухе матери).;2. ПРЕВЕРБЫ+СУФФИКСОИД л
85. А-ла-л-ра неперех. войти (в однородную массу), Мцаблырагьи  срычввагьи  с-ры-ла-л-уа-штГ  гврала. Ашахв, 9. Я, не задумываясь (бегом) войду в огонь и пургу.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
"86. А-ла-л-ра неперех. защищать кого, что-л.; принять чью-то сторону. Акоммунист д-й-ы-ла-ля!. Нышв, 308. Он защищал коммуниста (принял его сторону).";2. ПРЕВЕРБЫ+СУФФИКСОИД л
87. А-ма-л-ра неперех. подойти к чему-л. (по размеру). Ак1ынх!ара тшвачваи!, й-гь-а-ма-л-уашы-м. Ком., 4.1Х.1965. Отверстие слишком узкое, это к тому не подойдет,;2. ПРЕВЕРБЫ+СУФФИКСОИД л
88. А-мгва-л-ра неперех. завернуться во что-л. (залезть в живот). Ачвын ахьта дащын ауапа д-а-мгва-л-х-91. Аб. Т. Парень, замерзнув, завернулся в бурку.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
89. (Г1ла)-ны-л-ра неперех. положить кого, что-л. на что-л. Амииква х1уандыр чквынква й-гТа-р-ны-л-уан. А. тш., 70. Дрова ложились на наши маленькие повозки,;2. ПРЕВЕРБЫ+СУФФИКСОИД л
90. А-ны-л-ра неперех. наносить на что-л. Са суыса шЗыцква ашвъабгььы Й-а-ны-л-уан. Ашахв, 31, Мои новые стихи наносились на бумагу.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
91. Нашы-щШа-л-ра неперех. войти, положить в руку. Акъальам унаШы  йанашыцТалитЕ (й-а-а-напТы-па-л- ит!). Сгвы, 20. Ты ручку взял (ручка вошла в твою руку). Сара й-гТа-с-наиТы-цТа-л-11Т. А. тш., 57. То вошло мне в руку.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
92. ИшиТа-л-ра неперех. войти во двор. Ах йыпшЩа хЕ-шииа-л-т. Нышв, 98. Мы вошли во двор князя.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
93. П-шТа-л-ра неперех. встречать кого, что-л. Пщыра мцырала й-г]а-у-п-нИа-лы-зтын уызэджвыквылуа гыЧауда- »вуашым. АПА, 115. Если тебя встретили с пустыми вед- рами, то дело твое не сбудется. С-и-и-иМа-л-уа-шлА райша абари сгвытшпыла, Ашахв, 43, Я пойду ему прямо на- встречу.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
94. А-пы-л-ра неперех. встречать кого, что-л. Муамад йпа д-и-вы-лы-рные дджвыквылтГ. Садгьыл, 143. Мухамел отправился, чтобы встретить своего сына. Паса йлаущауа паса й-га-у-лы-л-х-итТ. АПА, 11. То, что ты рано посеешь, встретит тебя рано.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
95. Пыра-л-ра неперех. встречать кого, что-л. Толистан дгвыргъьауа д-Та-х1-пыра-л-тГ. Нышев, 84. Толистан ветре- тил нас приветливо.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
96. Ныра-л-ра неперех. стать поперек кому, чему-л. Жымыва йгапыралитГ (й-г!а-а-пыра-л-итГ) зуат. А. тш., 42. Они становятся поперек нашей дороге.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
97. Пы-цТа-л-ра неперех. упасть (вперед). Ищашква йыцНивтын д-пы-иТа-л-тТ. Аб. Т. Он, поскользнувшиеь, упал (вперед).;2. ПРЕВЕРБЫ+СУФФИКСОИД л
98. Та-л-ра неперех. входить во что-л, спуститься, по- пасть куда-л. ЦПак1 йтыцуа вПашвкТ йы-р-та-л-и 1, АПА, 140. То, что выходит из одного рта, входит во сто ртов. Сатаныйа адзхъа д-та-л-тЕ Нарт, 52. Сатаныйа спустилась к реке,;2. ПРЕВЕРБЫ+СУФФИКСОИД л
99. (ГТа)-та-л-ра неперех, наступать (о времени). Абарауи иншта ахвашауахъ Таталит[ (й-ГТа-та-л-итП). А. тш., 43. Тик наступает ночь накануне пятницы. Алхын ГаталитЕ {й-гТа-та-л-ит. Йара, 21. Наступает лето,;2. ПРЕВЕРБЫ+СУФФИКСОИД л
100. Тшгва-л-ра неперех. войти в очаг. Асаби дТашТа- рые: атштТва д-иштЧва-л-уаштТ. Аб. Т. Остановите ребенка ои войдет в огонь (очаг).;2. ПРЕВЕРБЫ+СУФФИКСОИД л
101. ТшкТара-л-ра неперех. зайти, войти во двор. Бакь СикакТварга рыпшща д-тшкТара-л-х-Т. Муртат, 20. Бек эниел во двор Сакваквы.;2. ПРЕВЕРБЫ+СУФФИКСОИД л
